timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
120832,117.70568659999999,96.34011560502869,21.365570852575246,0.0,-7.122409895970685,102.08394097603798
122880,117.8213011,96.51275780188422,21.308543437497246,0.0,-6.783567774368384,101.3340820016899
124928,118.06160249999998,96.55865120549632,21.50295121798407,0.0,-6.568165260690696,101.59976396262648
126976,118.6114957,96.51739494099218,22.094100843941735,0.0,-6.49525251394595,102.57259549986195
129024,118.5603805,95.54242872954691,23.017951811255468,0.0,-8.634429490894455,105.3484882043031
131072,117.6516441,97.16941868109033,20.482225344595502,0.0,-4.587323140873869,96.97749473738278
133120,118.73128980000001,96.28624747262661,22.445042405780782,0.0,-6.7554014666361555,101.81414383258586
135168,118.6944619,96.3297768871432,22.36468496064102,0.0,-6.563273071061474,99.14937728753948
137216,120.949944,96.41842878317776,24.531515213173133,0.0,-6.1322754066651255,102.26869995360133
139264,120.651611,96.04429303507288,24.607317999652814,0.0,-7.273585482077474,103.25999504449359
141312,120.30018619999998,96.39903504186263,23.90115117529433,0.0,-6.576970605960218,102.27323006623018
143360,120.3723667,95.96438056234646,24.407986015917135,0.0,-7.79617612698962,103.32720547825629
145408,120.1771645,96.25520561700631,23.92195862362354,0.0,-7.639556124433978,101.63138873255488
147456,120.0190576,96.964937178477,23.054120375366917,0.0,-6.406209281354926,102.50342873598285
149504,120.20831290000001,96.65378910423685,23.554523728824446,0.0,-7.0672969492477264,103.7990083482435
151552,119.56531850000002,97.38269601445737,22.182622597519842,0.0,-4.892576948864685,100.4900708585971
153600,117.89634020000001,96.88024520712432,21.016094919760903,0.0,-6.005530781810579,99.82453491922817
155648,117.2063398,96.73913916817015,20.467200662408843,0.0,-6.342496389619809,99.45262790597228
157696,117.39717429999999,96.94931647601926,20.44785789007271,0.0,-5.714825347707405,98.44455811842808
159744,118.36522640000001,96.84605748910522,21.51916907431568,0.0,-6.046468716720815,100.0334220967521
161792,118.78712850000002,97.01361595481345,21.773512549085815,0.0,-4.892719989001199,101.62243345644012
163840,117.8368633,95.86772626496571,21.969136882697416,0.0,-7.730360101299132,101.5876475121742
165888,117.41686039999999,96.32117041142234,21.09568994089579,0.0,-6.112409825456994,98.8959428057059
167936,118.2991729,96.3218678870009,21.977305088541385,0.0,-6.03637489268409,101.724204442608
169984,117.766905,96.38283645422284,21.38406850287908,0.0,-5.569261177270311,99.32169004600405
172032,118.0336445,96.61011128158121,21.42353323442443,0.0,-5.389402706065231,99.76183040071297
174080,118.94185999999999,96.51146215869213,22.430397927960648,0.0,-5.27874614082412,102.63707911208905
176128,117.90016269999998,96.88228220315673,21.017880499500727,0.0,-5.421131716504156,100.18560186600412
178176,117.55905779999998,96.80966038259626,20.749397301210696,0.0,-5.501456945670327,100.67902378095037
180224,116.20018679999998,95.9513505456657,20.24883610218862,0.0,-7.118683536059834,101.4628226979526
182272,117.66034520000001,96.57267626543481,21.087669112905665,0.0,-6.025039793947172,103.31529067239528
184320,117.41840210000001,96.39748538249829,21.020916778474575,0.0,-6.538445087710571,102.73553612215395
186368,118.0713271,96.61018863818947,21.461138527533613,0.0,-6.868577924721713,102.72197388479404
188416,117.24038900000001,96.6869817229364,20.5534073390636,0.0,-7.318371358301542,101.92558041258104
190464,117.65797429999998,97.30202428862613,20.35594998324894,0.0,-5.135977899511266,100.15806749010561
192512,117.70206369999998,96.99172419316866,20.710339532410167,0.0,-5.80128307527679,101.08684731317445
194560,118.27736309999997,97.169319468098,21.10804357931557,0.0,-5.209085152611768,101.95195595479174
196608,117.57521459999998,96.66603993599615,20.90917461025193,0.0,-6.760854291260637,99.96886156488645
198656,119.25715320000002,96.73792166815835,22.51923152498451,0.0,-7.066422397665576,103.34277058489631
200704,118.1748441,97.4009028983107,20.773941240400767,0.0,-5.282068373178028,98.50092975286456
202752,121.0263862,97.00221025651146,24.024175933462836,0.0,-6.500194579798524,103.47436713638224
204800,120.59119410000001,97.01202401998187,23.57917022403864,0.0,-5.85389956794039,101.2179840324688
206848,119.84437849999999,96.61879905962702,23.225579489281102,0.0,-6.488451806912318,99.32953779814345
208896,120.92074910000001,97.12940442138981,23.79134478510017,0.0,-5.133655141924587,101.9640629439402
210944,119.8963988,96.20942538004219,23.68697349101538,0.0,-7.932879180532777,102.51888492921316
212992,119.8108309,96.75788981705084,23.052941182145794,0.0,-6.639966285425205,102.75775166619897
215040,119.30344869999999,97.16022318006306,22.143225369288487,0.0,-5.394422067333702,100.06860556376441
217088,118.22129380000001,97.00322294953003,21.218070869410855,0.0,-5.287130311339806,98.77047747607443
219136,118.0971595,96.23588116201657,21.861278568483304,0.0,-7.494186608180553,101.57674206522657
221184,118.56367050000001,96.92128868802766,21.64238184352535,0.0,-5.7509065060989615,101.27306595925663
223232,117.80016500000002,96.53269658718577,21.267468240694036,0.0,-6.416539395881692,100.15496951719953
225280,116.84828459999999,96.4217446797604,20.426540060122868,0.0,-6.998717622732987,99.38295626567557
227328,117.59180690000001,96.73230447546864,20.859502449225797,0.0,-6.203582240545907,101.95140790466729
229376,118.10799240000001,97.18726275408126,20.92072969022032,0.0,-4.922083550843174,101.8485246319273
231424,117.06989930000002,96.58362080241487,20.4862785163968,0.0,-5.710575745914387,99.78408252341225
233472,117.99557069999999,95.82979493262285,22.165775641802917,0.0,-8.116603854513002,104.37165869200594
235520,117.1397512,96.88947803868021,20.250273146136244,0.0,-5.4916841992883665,98.86234370104727
237568,117.2436156,96.72258593431167,20.52102977400179,0.0,-6.4482415586778385,100.26628709836616
239616,117.8316796,96.83028677407843,21.00139295012869,0.0,-5.597931480140044,102.58865415103978
241664,117.9554063,96.59200881299557,21.363397594404628,0.0,-6.666209337951204,102.20098621505086
243712,119.3820092,96.9244374776086,22.457571695639142,0.0,-5.715514769473818,100.29730652229038
245760,120.5172495,96.750584036439,23.766665403646858,0.0,-6.501445667045287,102.64826018520611
247808,120.20825120000002,97.27041168170216,22.937839491767875,0.0,-5.038667917975946,99.96059501073391
249856,120.5991511,96.95250315361707,23.646647708181394,0.0,-6.232105791627755,102.24047197799948
251904,118.8218051,96.6605440717464,22.161261134109978,0.0,-6.893148758084502,101.03705304181702
253952,118.6053957,96.31525255312698,22.290143210195662,0.0,-7.13709729274472,101.53950191103488
256000,118.6297787,96.7953305894892,21.834448039875785,0.0,-5.950514837953129,100.43161953121012
258048,118.5060749,96.4796549894999,22.026419973379895,0.0,-7.104556401571119,101.0836624108535
260096,118.0834306,96.75504365229338,21.32838691847631,0.0,-6.5239117971146285,102.3396508532156
262144,117.79996239999998,96.76733527353016,21.032626977312383,0.0,-6.4163163357260515,101.88129475182609
264192,117.1457269,96.3673733897966,20.778353564299692,0.0,-6.999429275603724,101.79752730725377
266240,116.3544537,96.20974124642733,20.144712381408915,0.0,-7.853911730570251,101.80774679715391
268288,118.23828710000001,96.72858136784096,21.509705754907248,0.0,-6.418088340693048,100.76313132942157
270336,118.3572647,96.96515489229644,21.392109791103692,0.0,-5.67262395683048,99.856498444295
272384,118.29753660000002,96.77351493445028,21.52402166495424,0.0,-5.906387867292729,100.73750723435782
274432,118.8949756,96.66653908580726,22.22843660257504,0.0,-6.26300466493201,102.5897023340134
276480,119.27863359999999,96.57614346955532,22.702490079098702,0.0,-7.354232123148863,103.2895228537852
278528,119.1730739,96.01390519443996,23.15916872419965,0.0,-8.761316424043425,105.42620337382809
280576,119.2372541,96.93558338301528,22.30167070125641,0.0,-6.1446551758378085,102.39048139258516
282624,119.5100504,96.44656974377435,23.06348070671634,0.0,-8.151680997130141,104.69639125100984
284672,118.79151859999999,96.48567139332873,22.305847160078777,0.0,-7.60686072472477,104.16335770709524
286720,118.88511539999999,96.95159980540669,21.93351560929279,0.0,-6.150455222430074,102.29463093836291
288768,119.05462320000001,97.35527202829778,21.69935129426277,0.0,-5.333108627325922,100.69026207269236
290816,119.2358801,96.75540973856667,22.480470434411277,0.0,-6.9383743168981855,103.44859107444918
292864,118.3576793,96.49478624483254,21.86289318997992,0.0,-7.360700157099423,103.19945021660195
294912,117.75746919999999,95.74543727073385,22.012031842679782,0.0,-9.458936407872038,101.44462953565811
296960,118.37534020000001,96.30242431230995,22.072915869792087,0.0,-7.607679101727068,103.13758028933891
299008,118.19131050000001,96.34920642886861,21.842104062404367,0.0,-7.978339476241611,104.85582842932368
301056,119.11533670000001,96.53565044339847,22.579686133160596,0.0,-6.721390367514121,104.1380316052994
303104,119.3193407,96.86764723815939,22.451693501128503,0.0,-6.264564669653552,99.86036218777294
305152,119.87266509999999,96.57754552684169,23.295119631081,0.0,-7.273943687465968,101.47566445992102
307200,120.1204158,96.71748749009028,23.402928422120915,0.0,-6.578174482055042,101.57031884245193
309248,119.89676490000002,96.45720423514933,23.439560694776244,0.0,-7.769209650149428,102.51549585041505
311296,120.07938679999998,96.04452344383375,24.034863339428988,0.0,-8.189248608409224,104.28598899456063
313344,120.0403119,96.48473896072383,23.555572902003007,0.0,-7.236702766001502,102.87290772959292
315392,120.0783995,96.69718460469714,23.381214855506283,0.0,-6.641736406207758,103.84769613924031
317440,119.6014058,96.32269613283925,23.278709550903983,0.0,-7.624868587862375,103.79350000486856
319488,119.26243060000002,96.40864263704414,22.853787897113875,0.0,-7.69005121722787,103.18290827157685
321536,119.4335229,97.01296816080495,22.4205548038969,0.0,-5.456932772755438,103.33583745877988
323584,119.73872940000001,96.5929469995746,23.145782322711057,0.0,-6.949878386056026,104.08588205780889
325632,118.6982201,96.56857514130907,22.12964493231461,0.0,-7.453663542578711,105.18743070654709
327680,117.92535030000002,96.76740508796438,21.15794518635866,0.0,-6.448730240407262,102.33274595620861
329728,118.2328268,96.956640906527,21.276185990803555,0.0,-5.953733550229482,101.96124302429794
331776,117.97426719999999,96.96483655302208,21.009430592397017,0.0,-6.0110576249496415,100.31298599238234
333824,118.56989819999998,96.85484442315617,21.715053566426405,0.0,-6.324035411695973,101.52809442888793
335872,118.1932683,96.65522306764247,21.538045160461717,0.0,-6.985660173393508,100.67221799509305
337920,118.246109,97.18103522231867,21.06507375982626,0.0,-5.568732522800256,99.72167794504061
339968,119.0903614,95.91207712819458,23.17828423138631,0.0,-9.14878120024537,106.4904231184635
342016,119.59815410000002,95.99531967095035,23.602834551035503,0.0,-9.39862020045437,104.4484973699193
344064,119.28058630000001,96.82476104006615,22.45582529120599,0.0,-6.756397170405521,101.83518662314967
346112,119.05853850000001,96.61956360157721,22.438975122928692,0.0,-7.259253216887261,103.07537643478301
348160,119.04039770000001,96.228774433678,22.811623043357397,0.0,-8.568244664082384,103.9009096378339
350208,118.74102090000001,96.66344780114099,22.07757318001147,0.0,-6.8825915611901465,101.87537504279632
352256,118.92338,96.38625662445233,22.537123486315803,0.0,-7.88042027358406,101.57377641532716
354304,119.6490192,97.0808185581493,22.56820079056393,0.0,-5.947605329350987,102.33794897446464
356352,119.10331550000001,96.63126924886738,22.472046285366627,0.0,-7.122790128076829,102.88149386366108
358400,118.94836070000001,97.03181599285834,21.916544578162235,0.0,-5.756598726721399,99.78505747824363
360448,119.33432350000001,96.63435661672324,22.69996679125496,0.0,-6.794321862972834,102.75786580757487
362496,119.42827890000001,96.72585773653532,22.702421184087477,0.0,-6.490470995646696,104.48101008606045
364544,118.4648307,96.18212383840795,22.282706846160444,0.0,-6.8007362931819015,102.71437004276981
366592,117.8742586,95.06814824221227,22.806110435793784,0.0,-9.359461774013626,104.7456170347197
368640,118.17253699999999,95.75355144967385,22.418985657530566,0.0,-8.309313508114972,102.61049579432245
370688,119.27597990000001,96.04743132316625,23.22854858259084,0.0,-7.162466573067547,101.63667628151816
372736,119.69020130000001,96.19697073685253,23.493230697704725,0.0,-6.735699669648248,101.9049849167264
374784,119.83471589999999,96.51912687301716,23.315588987163192,0.0,-6.358078132898578,101.45759904079827
376832,120.4477745,96.07984356930015,24.36793098210736,0.0,-7.613692267657615,105.88110475752963
378880,120.53778350000002,96.27608258165026,24.261700890545722,0.0,-7.650461824178711,105.43516581807069
380928,119.712522,96.91361464736278,22.798907359253814,0.0,-6.122230236968583,100.63531828705426
382976,119.17952199999999,96.8559380253224,22.323584151302796,0.0,-6.174196983862336,102.9393835748438
385024,117.0803355,96.66837825799345,20.411957204984965,0.0,-6.3252029788304025,99.02422287518866
387072,119.02448650000001,95.97485016308946,23.04963633823526,0.0,-8.320468251302724,106.29144654005324
389120,119.41265010000002,96.45989636900626,22.95275372026756,0.0,-7.1177387229414135,101.92845397907061
391168,117.77715070000002,96.70359356553412,21.073557066625007,0.0,-6.49837626241707,99.38204030936214
393216,118.56267169999998,96.26544150524029,22.29723033988947,0.0,-7.371020631068514,104.32666357746882
395264,119.07100260000001,96.6455570835083,22.425445483920907,0.0,-6.74300860535906,104.60438001380354
397312,118.4084462,96.23841602486509,22.170030319231053,0.0,-7.726549282638311,103.21025789434137
399360,118.83562930000001,96.25005356170996,22.585575620331394,0.0,-7.549014408338553,103.33345383952317
401408,119.60935060000001,96.25828189828978,23.351068657283633,0.0,-7.912614762651134,103.99039457250396
403456,120.9892831,96.85119682353711,24.13808623323437,0.0,-5.826488667482403,104.2950682004825
405504,119.0371562,96.40311920493471,22.63403692132892,0.0,-6.688042966587605,103.51720123551306
407552,118.75511529999999,95.62767836654709,23.127436830599713,0.0,-9.048640709238395,105.25821308451115
409600,117.7864239,96.72330191045685,21.063121878122992,0.0,-6.021125893189643,99.59755297262868
411648,117.90527339999998,96.21582947490182,21.689443857384948,0.0,-7.223301098618014,100.84285761425886
413696,119.21223110000001,96.50654019494067,22.7056907865067,0.0,-7.128861888709261,103.91139706782894
415744,119.02049709999999,96.58376502546848,22.436731950755945,0.0,-6.866448122597161,104.44751237616569
417792,118.36172720000002,96.52455764710818,21.837169614387193,0.0,-7.484953615864084,103.25148948284445
419840,116.94193729999999,96.44216756431948,20.499769888156827,0.0,-7.6758053305221114,101.3755861417406
421888,118.27850800000002,97.05383545385713,21.224672389909095,0.0,-5.970284717257789,101.65898145415716
423936,118.09730549999999,96.75923057644243,21.33807506853454,0.0,-7.364002378695583,99.93179443952742
425984,118.4807601,96.53884239047464,21.941917691185047,0.0,-7.853448157772823,102.10796413018474
428032,118.98113409999999,97.02385298928348,21.95728127234001,0.0,-6.439700536820331,103.32998377281464
430080,118.6635861,97.04035894568695,21.623227091268074,0.0,-6.357248029381287,101.23391395436195
432128,119.69926029999999,97.08787943104079,22.611380868959092,0.0,-5.745130354040333,102.19938516255013
434176,118.66354559999999,97.10995847368221,21.553587107409502,0.0,-5.850270331324211,100.12226475487789
436224,119.43538269999999,96.67328666744967,22.762096107906228,0.0,-6.698659254311342,103.96613938543342
438272,118.3498152,97.04168043822382,21.3081346594106,0.0,-5.553648014182324,100.56575908707006
440320,118.23536279999999,97.04510809608833,21.190254711100824,0.0,-5.523072684001013,102.32629843890575
442368,118.1007208,96.22582948757957,21.874891342362456,0.0,-7.264103842500946,102.50445907409048
444416,117.3711527,95.95717600450169,21.413976787662186,0.0,-8.18875608513336,103.619302055452
446464,116.6717439,95.3324312995152,21.33931252647593,0.0,-10.52185249132955,104.51846292699807
