timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,H_sum
686080,115.426683,0,115.4266831,0,0,115.4266831
688128,112.7304327,0,112.7304327,0,0,112.7304327
690176,110.9909951,0,110.9909952,0,0,110.9909952
692224,113.7090579,0,113.7090579,0,0,113.7090579
694272,112.7032242,0,112.7032241,0,0,112.7032241
696320,115.5905391,0,115.5905392,0,0,115.5905392
698368,110.8577383,0,110.8577383,0,0,110.8577383
700416,113.0758485,0,113.0758486,0,0,113.0758486
702464,112.8233007,0,112.8233007,0,0,112.8233007
704512,112.1037734,0,112.1037734,0,0,112.1037734
706560,115.2571472,0,115.2571472,0,0,115.2571472
708608,112.7551715,0,112.7551715,0,0,112.7551715
710656,111.3026625,0,111.3026624,0,0,111.3026624
712704,115.3982303,0,115.3982301,0,0,115.3982301
714752,112.1874742,0,112.1874742,0,0,112.1874742
716800,112.5087704,0,112.5087705,0,0,112.5087705
718848,112.7321958,0,112.7321957,0,0,112.7321957
720896,112.2241499,0,112.2241499,0,0,112.2241499
722944,114.1671199,0,114.1671198,0,0,114.1671198
724992,111.6011775,0,111.6011775,0,0,111.6011775
727040,112.1714297,0,112.1714298,0,0,112.1714298
729088,111.013074,0,111.0130739,0,0,111.0130739
731136,111.3442965,0,111.3442965,0,0,111.3442965
733184,111.2727592,0,111.2727592,0,0,111.2727592
735232,113.0224398,0,113.0224398,0,0,113.0224398
737280,113.8008418,0,113.8008418,0,0,113.8008418
739328,114.3605273,0,114.3605272,0,0,114.3605272
741376,111.8148476,0,111.8148476,0,0,111.8148476
743424,116.9892086,0,116.9892086,0,0,116.9892086
745472,111.5533573,0,111.5533575,0,0,111.5533575
747520,112.1909692,0,112.1909692,0,0,112.1909692
749568,115.2217825,0,115.2217824,0,0,115.2217824
751616,113.5450989,0,113.5450989,0,0,113.5450989
753664,115.7011015,0,115.7011015,0,0,115.7011015
755712,116.3149725,0,116.3149725,0,0,116.3149725
757760,113.0235801,0,113.02358,0,0,113.02358
