timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,N_sum
782336,148.2997653,73.7324501,0,74.5673152,-2.088228064,0
784384,135.6695556,67.66955547,0,68,-1.636197814,0
786432,153.7705247,76.57052483,0,77.2,-2.329158939,0
788480,176.573586,87.57612943,0,88.99745655,-2.861870973,0
790528,106.1334233,52.92516471,0,53.20825861,-1.900110561,0
792576,176.6044963,87.71363273,0,88.89086358,-2.673922456,0
794624,136.536059,67.94329927,0,68.59275965,-1.713944814,0
796672,128.2490428,63.95019041,0,64.29885232,-1.58402194,0
798720,149.3202882,74.32028821,0,75,-1.977694865,0
800768,158.4837375,78.68436955,0,79.79936801,-2.690168461,0
802816,128.002932,63.50356394,0,64.49936801,-2.183647935,0
804864,181.2956895,89.90219034,0,91.39349929,-2.812545704,0
806912,149.6856978,74.18643752,0,75.49926036,-2.741694024,0
808960,146.8837769,72.89295098,0,73.99082594,-2.497093745,0
811008,144.0675039,71.46750396,0,72.6,-2.338138185,0
813056,176.4356884,87.33568827,0,89.1,-2.992641466,0
815104,158.5709969,78.37447818,0,80.19651873,-3.026697222,0
817152,154.9736132,76.97570901,0,77.99790426,-2.055432965,0
819200,122.0005086,60.60050857,0,61.4,-2.428275872,0
821248,162.6095797,80.31057483,0,82.29900502,-3.817707763,0
823296,149.8669881,74.40518151,0,75.46180664,-2.034208993,0
825344,162.3931793,80.49967999,0,81.89349929,-2.581128746,0
827392,116.8048621,58.20560182,0,58.59926036,-1.825470521,0
829440,152.5183948,75.21902678,0,77.29936801,-4.167219146,0
831488,161.9778436,80.1778435,0,81.8,-3.664987878,0
833536,147.3250292,73.32504041,0,73.99998869,-1.509013505,0
835584,99.2508029,49.24122454,0,50.00957846,-2.269410911,0
837632,143.6668781,71.48445997,0,72.18241806,-1.984203185,0
839680,96.8449206,48.34492064,0,48.5,-1.385073435,0
841728,125.0326406,62.13320664,0,62.89943398,-2.251513149,0
843776,158.7013333,78.69642264,0,80.00491071,-2.964452025,0
845824,107.100379,53.20278833,0,53.89759064,-2.154234285,0
847872,97.3411118,48.54392472,0,48.79718696,-1.491381389,0
849920,148.9569769,74.05697676,0,74.9,-2.452191331,0
851968,168.1307114,83.13071143,0,85,-4.282850751,0
854016,118.7459506,59.14837082,0,59.5975796,-1.765546327,0
856064,141.6430476,70.4378689,0,71.20517856,-2.381199543,0
858112,149.5858437,74.09078404,0,75.49505964,-3.358077565,0
860160,158.3222051,78.42220506,0,79.9,-3.444146704,0
862208,150.8481446,74.74922214,0,76.09892248,-3.518768331,0
864256,168.5468292,83.64682916,0,84.9,-3.144993917,0
866304,128.0836591,63.68647429,0,64.39718467,-2.206803855,0
868352,152.4172293,75.69664909,0,76.72058003,-2.93124454,0
870400,166.7762882,82.87145284,0,83.90483529,-2.338901701,0
872448,123.7732016,61.57686091,0,62.19634066,-1.755160757,0
874496,134.5318693,66.73837001,0,67.79349929,-2.445194489,0
876544,168.3029556,83.30789587,0,84.99505964,-2.99278551,0
878592,130.1376932,64.63769314,0,65.5,-2.130979953,0
880640,162.9364641,80.85826692,0,82.07819715,-2.626653608,0
882688,170.4792298,84.57922976,0,85.9,-2.846376909,0
884736,139.1701685,69.27128509,0,69.89888338,-1.770591395,0
886784,153.6814075,75.96062368,0,77.72078392,-3.414571605,0
888832,151.9873396,75.69028507,0,76.29705445,-1.786069576,0
890880,120.720834,59.85041004,0,60.87042405,-2.657546101,0
892928,179.7866243,89.08736397,0,90.69926036,-3.081477362,0
894976,129.3748103,64.28092827,0,65.09388204,-2.080806909,0
